"cons","edo","NOM_ENT","mun","NOM_MUN","grupo","NOMBRE_GRUPO","monto_venta","animales_venta"
"0025","15","México","051","Lerma","5","cyb",0,0
"0026","15","México","051","Lerma","1","reses",0,0
"0026","15","México","051","Lerma","2","equinos",0,0
"0026","15","México","051","Lerma","3","cerdos",0,0
"0026","15","México","051","Lerma","4","aves",0,0
"0026","15","México","051","Lerma","5","cyb",0,0
"0027","15","México","051","Lerma","1","reses",0,0
"0027","15","México","051","Lerma","2","equinos",0,0
"0027","15","México","051","Lerma","3","cerdos",0,0
"0027","15","México","051","Lerma","4","aves",0,0
"0027","15","México","051","Lerma","5","cyb",0,0
"0028","15","México","051","Lerma","1","reses",0,0
"0028","15","México","051","Lerma","2","equinos",0,0
"0028","15","México","051","Lerma","3","cerdos",0,0
"0028","15","México","051","Lerma","4","aves",0,0
"0028","15","México","051","Lerma","5","cyb",0,0
"0029","15","México","051","Lerma","1","reses",0,0
"0029","15","México","051","Lerma","2","equinos",0,0
"0029","15","México","051","Lerma","3","cerdos",0,0
"0029","15","México","051","Lerma","4","aves",0,0
"0029","15","México","051","Lerma","5","cyb",0,0
"0030","15","México","051","Lerma","1","reses",0,0
"0030","15","México","051","Lerma","2","equinos",0,0
"0030","15","México","051","Lerma","3","cerdos",0,0
"0030","15","México","051","Lerma","4","aves",0,0
"0030","15","México","051","Lerma","5","cyb",0,0
"0031","15","México","051","Lerma","1","reses",0,0
"0031","15","México","051","Lerma","2","equinos",0,0
"0031","15","México","051","Lerma","3","cerdos",0,0
"0031","15","México","051","Lerma","4","aves",0,0
"0031","15","México","051","Lerma","5","cyb",0,0
"0032","15","México","051","Lerma","1","reses",0,0
"0032","15","México","051","Lerma","2","equinos",0,0
"0032","15","México","051","Lerma","3","cerdos",0,0
"0032","15","México","051","Lerma","4","aves",0,0
"0032","15","México","051","Lerma","5","cyb",0,0
"0033","15","México","051","Lerma","1","reses",0,0
"0033","15","México","051","Lerma","2","equinos",0,0
"0033","15","México","051","Lerma","3","cerdos",0,0
"0033","15","México","051","Lerma","4","aves",0,0
"0033","15","México","051","Lerma","5","cyb",0,0
"0034","15","México","051","Lerma","1","reses",0,0
"0034","15","México","051","Lerma","2","equinos",0,0
"0034","15","México","051","Lerma","3","cerdos",0,0
"0034","15","México","051","Lerma","4","aves",0,0
"0034","15","México","051","Lerma","5","cyb",0,0
"0035","15","México","051","Lerma","1","reses",0,0
"0035","15","México","051","Lerma","2","equinos",0,0
"0035","15","México","051","Lerma","3","cerdos",0,0
"0035","15","México","051","Lerma","4","aves",0,0
"0035","15","México","051","Lerma","5","cyb",0,0
"0036","15","México","051","Lerma","1","reses",0,0
"0036","15","México","051","Lerma","2","equinos",0,0
"0036","15","México","051","Lerma","3","cerdos",0,0
"0036","15","México","051","Lerma","4","aves",0,0
"0036","15","México","051","Lerma","5","cyb",0,0
"0037","15","México","051","Lerma","1","reses",0,0
"0037","15","México","051","Lerma","2","equinos",0,0
"0037","15","México","051","Lerma","3","cerdos",0,0
"0037","15","México","051","Lerma","4","aves",0,0
"0037","15","México","051","Lerma","5","cyb",0,0
