"cons","edo","mun","loc","animal","s7c7ip01","s7c7ip_2","s7c7ip02","s7c7ip03","s7c7ip04a","s7c7ip04b","s7c7ip05a","s7c7ip05b","s7c7ip06a","s7c7ip06b","s7c7ip07","s7c7ip08a","s7c7ip08b","s7c7ip09a","s7c7ip09b","s7c7ip10","s7c7ip11","s7c7ip12_lc","s7c7ip13_mc","s7c7ip14_edo","s7c7ip15","s7c7ip15_c","s7c7jp01","s7c7jp02","s7c7jp03","s7c7jp04","s7c7jp05","s7c7jp06","s7c7jp07","s7c7jp08a","s7c7jp08b","s7c7jp08c","s7c7jp09","s7c7jp09_c","s7c7jp10"
42,15,67,18,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,15,67,18,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,15,67,18,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,15,67,18,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,15,67,18,2,1,2,1,12,30,3,25,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,2,2,NA,NA,NA,NA,NA,0
43,15,67,18,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,15,67,18,2,1,2,1,3,1,1,1,1,30,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
44,15,67,18,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,15,67,18,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,15,67,18,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,15,67,18,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,15,67,18,1,1,1,1,12,60,10,9,10,12,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
45,15,67,18,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,15,67,18,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,15,67,18,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,15,67,18,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,15,67,18,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,15,67,18,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,15,67,18,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,15,67,18,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,15,67,18,6,1,6,1,3,3,3,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
