grupo,(Todas),,,,,,grupo,(Todas),,,,,,,,,,,,,,,,,
s7c7ap01,(Todas),,,,,,s7c7dp03b,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valores,,,,,Suma de s7c7dp03a,s7c7ap01,,,,,,,,,,,,,,,,,
cons,s7c7dp03b,Suma de s7c7dp01,Suma de s7c7dp02,Suma de s7c7dp03a,,,cons,11,12,13,14,15,21,22,31,32,33,41,42,43,51,52,61,71,Total general
,,,,,,,1398,,,,,,,,,,,600,120,,,,,,720
,,,,,,,1401,,,,,,,,,,,200,,,,,,80,280
,,,,,,,1403,,,,,,,,,,,,100,,,,,,100
,,,,,,,1405,,,,,,,,,,,,100,,,,,,100
,,,,,,,1413,,,,,,,,,,,,,,,,200,,200
,,,,,,,1438,,,,,,,,,,,,100,,,,,,100
,,,,,,,1453,,,,,,,,,,,,100,,,,,,100
,,,,,,,1468,,,,,,,,,,,600,,,,,,,600
,,,,,,,1483,,,,5200,,,,,,,,,,,,,,5200
,,,,,,,1497,,,,,4000,,,,,,,,,,,,,4000
,,,,,,,1532,,,,,,,,,800,,,,,,,,,800
,,,,,,,1534,,,,,,,,,,,,,400,,,,,400
,,,,,,,1541,,,,,,,,,,,,,,700,,,,700
,,,,,,,1545,2500,,,,,,,,,,,,,,,,,2500
,,,,,,,1555,,,,,,,,,,,,,,,350,,,350
,,,,,,,1567,6000,,,,5000,,,,,,,,,,,,,11000
,,,,,,,1571,3000,,,10000,2000,,,,,,,,,,,,,15000
,,,,,,,1576,,,,,2500,,,,,,,,,,,,,2500
,,,,,,,1649,,,,,,,,3000,,,,,,,,,,3000
,,,,,,,1699,500,,,,,,,,,,,,,,,,,500
,,,,,,,1710,,,,,3000,1500,,,,,,,,,,,,4500
,,,,,,,1807,,,,,4500,,,,,,,,,,,,,4500
,,,,,,,1809,,,,,,,,,,,,,,300,,,,300
,,,,,,,1810,,,,,,,,,,,,,,,500,,,500
,,,,,,,1815,,,,,,,,,,,,,,400,,,,400
,,,,,,,1859,,,,,7200,,,,,,,,,,,,,7200
,,,,,,,1869,2300,,,,,,,,,,,,,,,,,2300
,,,,,,,1924,,,,,,,,,,,,,,,600,,,600
,,,,,,,1932,,,,,,,,,,,,,,,550,,,550
,,,,,,,1933,8000,,,,,,,,,,,,,,,,,8000
,,,,,,,1942,,,,,5000,,,,,,,,,,,,,5000
,,,,,,,1953,,,,,,,,,,,,,,,1000,,,1000
,,,,,,,2009,,,,,,,,,,,,50,,,,,,50
,,,,,,,2028,,,,,,,,,,,,,,750,,,,750
,,,,,,,2101,4500,,,,,,,,,,,,,,,,,4500
,,,,,,,2113,,,,,,,,,,,,35,,,,,,35
,,,,,,,2176,,,,,,,,,,,300,,,,,,,300
,,,,,,,2199,,,6000,,,,,,,,,,,,,,,6000
,,,,,,,2217,5500,,,,,,,,,,,,,,,,,5500
,,,,,,,2230,,,,,,,,,,,,120,,,,,,120
,,,,,,,2262,,,,,,,,,,,,100,,,,,,100
,,,,,,,2264,,,,,,2000,500,,,,,50,,,,,,2550
,,,,,,,2338,,,,,10000,,,,,,,,,,,,,10000
,,,,,,,2352,,,,,,,,,,,,90,,,,,,90
,,,,,,,2362,,,,,,,,,,,,75,,,,,,75
,,,,,,,2389,5700,,,,8000,,,,,,,,,,,,,13700
,,,,,,,2393,,,,,,,,,,,,60,,,,,,60
,,,,,,,2394,,14000,,,,,,,,,,,,,,,,14000
,,,,,,,2398,,,,,,,,,,,,50,,,,,,50
,,,,,,,2423,,,,,,,,,,,,60,,,,,,60
,,,,,,,2462,,,,,,,,,,,,,,800,,,,800
,,,,,,,2477,,,,,,,,,,,,50,,,,,,50
,,,,,,,2488,,,,,,,,,2000,,,,,,,,,2000
,,,,,,,2489,500,,,,,,,,,,,,,,,,,500
,,,,,,,2491,3500,,,,,,,,,,,,,,,,,3500
,,,,,,,2493,,,,,,,,,,,,,,350,,,,350
,,,,,,,2497,2500,,,,,1500,,,,,,,,,,,,4000
,,,,,,,2514,3500,,,,,,,,,,,,,,,,,3500
,,,,,,,2541,,,,,3000,,,,,,,,,,,,,3000
,,,,,,,2543,,,,,2800,,,,,,,,,,,,,2800
,,,,,,,2545,,,,,3000,,,,,,,,,,,,,3000
,,,,,,,2547,,,,,6000,,,,,,,,,,,,,6000
,,,,,,,2925,,,,,,,,,450,,,,,,,,,450
,,,,,,,3243,,,,,,,,,,,,120,,,,,,120
,,,,,,,3312,1500,,,,2500,,,,,,,,,,,,,4000
,,,,,,,Total general,74500,21000,11000,50200,108500,7200,2200,12400,12550,8300,6360,5120,500,4700,18000,200,180,342910
